交易代码,公司名称,董监高姓名,职务,变动数,变动后持股数,变动原因,变动日期,填报日期,股份变动人姓名,变动人与董监高的关系
1,平安银行,周建国,监事,2100.0,,竞价交易,2017-06-22,2017-06-23,邱利华,配偶
1,平安银行,吴鹏,高管,2000.0,,竞价交易,2017-11-17,2017-11-20,吴烁,子女
5,世纪星源,刘敏儿,监事,3000.0,,竞价交易,2017-05-02,2017-05-03,刘敏倩,兄弟姐妹
8,神州高铁,王利群,高管,3000.0,,竞价交易,2017-08-21,2017-08-22,王为群,兄弟姐妹
9,中国宝安,陈政立,董事、高管,150000.0,457774.0,竞价交易,2017-05-23,2017-05-24,陈政立,本人
9,中国宝安,杨璐,董事,4800.0,,竞价交易,2017-09-13,2017-09-14,杨占元,配偶
9,中国宝安,陈政立,董事、高管,100000.0,557774.0,竞价交易,2017-11-17,2017-11-20,陈政立,本人
9,中国宝安,陈政立,董事、高管,100000.0,657774.0,竞价交易,2017-12-05,2017-12-06,陈政立,本人
10,美丽生态,高仁金,高管,2000.0,,竞价交易,2017-11-02,2017-11-03,高仁忠,兄弟姐妹
12,南玻A,鄢文斗,监事,20000.0,20000.0,竞价交易,2017-01-16,2017-01-17,鄢文斗,本人
12,南玻A,潘永红,董事、高管,300.0,,竞价交易,2017-05-23,2017-05-24,潘永明,兄弟姐妹
14,沙河股份,赖育明,高管,300.0,,竞价交易,2017-04-11,2017-04-12,赖育琴,兄弟姐妹
18,神州长城,陈略,董事、高管,510000.0,583454556.0,竞价交易,2017-01-11,2017-01-12,陈略,本人
18,神州长城,杨春玲,董秘,35500.0,35500.0,竞价交易,2017-05-09,2017-05-10,杨春玲,本人
18,神州长城,汪哨骏,高管,10000.0,,竞价交易,2017-11-06,2017-11-07,陈兰,配偶
18,神州长城,杨春玲,董秘,26000.0,61500.0,竞价交易,2017-12-11,2017-12-12,杨春玲,本人
20,深华发A,黄雁波,监事,2000.0,,竞价交易,2017-01-04,2017-01-05,黄剑波,兄弟姐妹
21,深科技,才淦,监事,20000.0,20000.0,竞价交易,2017-05-08,2017-05-09,才淦,本人
21,深科技,李丽杰,证券事务代表,10000.0,23000.0,竞价交易,2017-06-14,2017-06-15,李丽杰,本人
26,飞亚达A,陈立彬,董事、高管,80000.0,80000.0,竞价交易,2017-12-14,2017-12-15,陈立彬,本人
49,德赛电池,陈莉,高管,500.0,,竞价交易,2017-01-03,2017-01-04,谢丽波,配偶
49,德赛电池,李兵兵,董事,2200.0,,竞价交易,2017-10-31,2017-11-01,李晓卫,兄弟姐妹
49,德赛电池,刘贺,监事,300.0,,竞价交易,2017-12-28,2017-12-29,刘枫,兄弟姐妹
58,深赛格,唐崇银,监事,19000.0,19000.0,竞价交易,2017-09-29,2017-10-09,唐崇银,本人
58,深赛格,刘志军,董事、高管,10000.0,20000.0,竞价交易,2017-11-03,2017-11-06,刘志军,本人
58,深赛格,刘志军,董秘、董事、高管,10000.0,30000.0,竞价交易,2017-12-27,2017-12-28,刘志军,本人
60,中金岭南,陈少华,高管,20700.0,20700.0,竞价交易,2017-05-24,2017-05-25,陈少华,本人
66,长城电脑,徐刚,高管,500.0,,竞价交易,2017-02-06,2017-02-07,吴仲英,父母
99,中信海直,宁志和,监事,1000.0,,竞价交易,2017-02-07,2017-02-08,宁博,子女
333,美的集团,梁惠铭,监事,300.0,,竞价交易,2017-07-05,2017-07-06,梁惠然,兄弟姐妹
333,美的集团,向卫民,高管,400.0,,竞价交易,2017-08-25,2017-08-28,向雪桂,父母
401,冀东水泥,王向东,高管,700.0,700.0,竞价交易,2017-02-22,2017-02-23,王向东,本人
401,冀东水泥,孔祥忠,独立董事,1000.0,,竞价交易,2017-10-25,2017-10-26,朱阳华,配偶
403,ST生化,杨曦,董事,10000.0,10000.0,竞价交易,2017-05-11,2017-05-12,杨曦,本人
404,华意压缩,查春霞,监事,38000.0,218374.0,竞价交易,2017-06-08,2017-06-09,查春霞,本人
404,华意压缩,查春霞,监事,17700.0,301168.0,竞价交易,2017-07-06,2017-07-07,查春霞,本人
404,华意压缩,庞海涛,高管,44000.0,463975.0,竞价交易,2017-10-19,2017-10-20,庞海涛,本人
410,*ST沈机,杨文辉,监事,10000.0,10000.0,竞价交易,2017-07-06,2017-07-07,杨文辉,本人
410,*ST沈机,徐宝军,监事,1000.0,,竞价交易,2017-09-25,2017-09-26,徐宝财,兄弟姐妹
415,渤海金控,白晓宇,高管,52000.0,52000.0,竞价交易,2017-12-13,2017-12-14,白晓宇,本人
418,小天鹅A,陆剑峰,高管,26700.0,26700.0,竞价交易,2017-03-10,2017-03-13,陆剑峰,本人
418,小天鹅A,蒋青云,独立董事,400.0,,竞价交易,2017-04-18,2017-04-19,任雨辰,子女
420,吉林化纤,王秋红,证券事务代表,200.0,200.0,竞价交易,2017-12-01,2017-12-04,王秋红,本人
426,兴业矿业,孙凯,董秘、董事、高管,40000.0,80000.0,竞价交易,2017-05-05,2017-05-08,孙凯,本人
428,华天酒店,葛晓炳,监事,1800.0,,竞价交易,2017-04-11,2017-04-12,葛小红,兄弟姐妹
428,华天酒店,侯跃,董事,5000.0,,竞价交易,2017-10-20,2017-10-23,侯华,兄弟姐妹
