交易代码,公司名称,董监高姓名,职务,变动数,变动后持股数,变动原因,变动日期,填报日期,股份变动人姓名,变动人与董监高的关系
2,万科A,郁亮,董事、高管,1000000.0,7306245.0,竞价交易,2014-03-10,2014-03-11,郁亮,本人
6,深振业A,于冰,董事、高管,100.0,100.0,竞价交易,2014-10-31,2014-11-03,于孝儒,父母
8,宝利来,赖伟强,董事,10000.0,10000.0,竞价交易,2014-09-29,2014-09-30,魏立东,配偶
9,中国宝安,骆文明,高管,1900.0,1900.0,竞价交易,2014-04-18,2014-04-21,骆文新,兄弟姐妹
14,沙河股份,范值清,独立董事,2000.0,2000.0,竞价交易,2014-12-08,2014-12-09,范旭华,兄弟姐妹
24,招商局B,王正德,高管,10000.0,10000.0,竞价交易,2014-04-18,2014-04-21,王正德,本人
24,招商局B,吴振勤,董事、高管,5000.0,,竞价交易,2014-06-03,2014-06-04,吴振勤,本人
24,招商地产,贺建亚,董事、高管,12700.0,124870.0,竞价交易,2014-06-03,2014-06-04,贺建亚,本人
24,招商地产,朱文凯,高管,16000.0,41500.0,竞价交易,2014-07-04,2014-07-07,朱文凯,本人
24,招商地产,胡勇,董事,93900.0,93900.0,竞价交易,2014-12-24,2014-12-25,黄伟军,配偶
28,国药一致,陈常兵,董秘,600.0,600.0,竞价交易,2014-03-20,2014-03-21,陈山俊,兄弟姐妹
30,富奥股份,叶凡,董事、高管,102300.0,102300.0,竞价交易,2014-09-05,2014-09-09,叶明,兄弟姐妹
39,中集集团,熊波,监事,3000.0,3000.0,竞价交易,2014-12-10,2014-12-11,熊彦,兄弟姐妹
55,方大集团,曾晓武,监事,2000.0,8600.0,竞价交易,2014-06-30,2014-07-01,胡芬,父母
60,中金岭南,余中民,高管,700.0,22300.0,竞价交易,2014-06-30,2014-07-01,岑洁,配偶
63,中兴通讯,熊辉,高管,1000.0,1000.0,竞价交易,2014-05-20,2014-05-21,熊芸,兄弟姐妹
63,中兴通讯,史立荣,董事、高管,140000.0,550511.0,竞价交易,2014-07-18,2014-07-21,史立荣,本人
66,长城电脑,马跃,监事,2000.0,2000.0,竞价交易,2014-05-28,2014-05-29,马建平,兄弟姐妹
96,广聚能源,张华锋,高管,3000.0,3000.0,竞价交易,2014-04-14,2014-04-15,周宪秋,配偶
100,TCL集团,李东生,董事、高管,2150000.0,638273688.0,竞价交易,2014-05-13,2014-05-14,李东生,本人
159,国际实业,康丽华,董事、高管,900.0,900.0,竞价交易,2014-08-14,2014-08-15,缑永玉,配偶
