交易代码,公司名称,董监高姓名,职务,变动数,变动后持股数,变动原因,变动日期,填报日期,股份变动人姓名,变动人与董监高的关系
6,深振业A,朱大华,监事,9500.0,,竞价交易,2016-11-07,2016-11-08,漆艳平,配偶
14,沙河股份,许志忠,监事,200.0,,竞价交易,2016-11-08,2016-11-09,许攀,子女
14,沙河股份,刘泰康,董事,2000.0,,竞价交易,2016-12-29,2016-12-30,刘开瑛,父母
18,神州长城,陈略,董事、高管,270000.0,153406462.0,竞价交易,2016-01-05,2016-01-06,陈略,本人
18,神州长城,王镭,董事,3356984.0,,大宗交易,2016-12-12,2016-12-13,青海合一矿业有限公司,受控法人
19,深深宝A,范值清,独立董事,3600.0,3600.0,竞价交易,2016-10-11,2016-10-12,范值清,本人
21,深科技,于化荣,高管,1600.0,,竞价交易,2016-01-04,2016-01-05,李惠琴,配偶
29,深深房A,庄泉,监事,5000.0,,竞价交易,2016-02-25,2016-02-26,庄禾,子女
34,神州数码,王继业,董秘,100.0,,竞价交易,2016-12-30,2017-01-03,王新民,兄弟姐妹
36,华联控股,黄欣,高管,700.0,,竞价交易,2016-05-18,2016-05-19,黄诚,兄弟姐妹
37,*ST南电A,伍东向,董事、高管,1100.0,,竞价交易,2016-04-29,2016-05-03,伍莉莉,兄弟姐妹
38,深大通,黄卫华,高管,100.0,,竞价交易,2016-10-28,2016-10-31,杜允盈,其他
42,中洲控股,梁晓斌,监事,2300.0,,竞价交易,2016-01-18,2016-01-19,马晓凌,配偶
42,中洲控股,梁晓斌,监事,4900.0,,竞价交易,2016-07-22,2016-07-25,马晓凌,配偶
55,方大集团,林克槟,高管,1000.0,,竞价交易,2016-06-13,2016-06-14,林克城,兄弟姐妹
56,皇庭国际,唐若民,董事,10000.0,,竞价交易,2016-12-26,2016-12-27,唐拥民,兄弟姐妹
61,农产品,陈少群,董事,2000.0,,竞价交易,2016-05-20,2016-05-23,陈少玲,兄弟姐妹
62,深圳华强,程一木,独立董事,1000.0,,竞价交易,2016-09-20,2016-09-21,程一石,兄弟姐妹
63,中兴通讯,徐慧俊,高管,2600.0,,竞价交易,2016-10-12,2016-10-13,徐慧年,兄弟姐妹
66,长城电脑,杨军,董事,2999700.0,,竞价交易,2016-03-15,2016-03-16,中国电子信息产业集团有限公司,受控法人
66,长城电脑,杨林,董事,1683201.0,,竞价交易,2016-05-13,2016-05-16,中国电子信息产业集团有限公司,受控法人
69,华侨城A,余海龙,独立董事,10000.0,,竞价交易,2016-11-28,2016-11-29,余芳龄,子女
78,海王生物,任克雷,独立董事,400.0,,竞价交易,2016-01-07,2016-01-08,张妮,配偶
96,广聚能源,冷平,董事,175000.0,,竞价交易,2016-05-03,2016-05-04,深圳市广聚投资控股(集团)有限公司,受控法人
99,中信海直,毕为,董事,300.0,,竞价交易,2016-02-03,2016-02-04,徐秀静,父母
99,中信海直,许卫杰,高管,700.0,700.0,竞价交易,2016-06-23,2016-06-24,许卫杰,本人
99,中信海直,余金树,高管,200.0,,竞价交易,2016-10-13,2016-10-14,余银树,兄弟姐妹
157,中联重科,申柯,董秘,1773100.0,2110600.0,竞价交易,2016-07-19,2016-07-20,申柯,本人
301,东方市场,施斌峰,董事,860900.0,,竞价交易,2016-01-04,2016-01-05,江苏吴江丝绸集团有限公司,受控法人
333,美的集团,何剑锋,董事,27900000.0,,大宗交易,2016-04-27,2016-04-28,何享健,父母
333,美的集团,麦钰芬,监事,2300.0,2300.0,竞价交易,2016-05-17,2016-05-18,麦钰芬,本人
333,美的集团,朱凤涛,高管,810000.0,810000.0,竞价交易,2016-12-14,2016-12-15,朱凤涛,本人
