交易代码,公司名称,董监高姓名,职务,变动数,变动后持股数,变动原因,变动日期,填报日期,股份变动人姓名,变动人与董监高的关系
2,万科A,王文金,董事、高管,30700.0,1654291.0,竞价交易,2015-10-30,2015-11-02,王文金,本人
4,国农科技,李林琳,董秘、董事、高管,1210000.0,1210000.0,竞价交易,2015-08-25,2015-08-26,李林琳,本人
4,国农科技,徐文苏,董事、高管,8000.0,8000.0,竞价交易,2015-09-07,2015-09-08,徐文苏,本人
6,深振业A,廖耀雄,独立董事,5000.0,5000.0,竞价交易,2015-07-02,2015-07-03,廖锦梅,兄弟姐妹
8,神州高铁,陈文河,证券事务代表,500.0,500.0,竞价交易,2015-07-02,2015-07-03,刘杰,配偶
8,神州高铁,王志全,董事,600000.0,230399739.0,竞价交易,2015-11-24,2015-11-25,王志全,本人
9,中国宝安,郭朝晖,独立董事,10000.0,10000.0,竞价交易,2015-04-15,2015-04-16,郭潮红,兄弟姐妹
9,中国宝安,张渠,高管,5000.0,,竞价交易,2015-09-25,2015-09-28,张津源,子女
11,深物业A,李子鹏,高管,600.0,600.0,竞价交易,2015-07-10,2015-07-13,唐晓红,配偶
12,南玻B,张柏忠,高管,2900.0,27050.0,竞价交易,2015-01-05,2015-01-06,张姮,配偶
12,南玻A,李涛,证券事务代表,2000.0,2000.0,竞价交易,2015-04-28,2015-04-29,李涛,本人
14,沙河股份,范值清,独立董事,2300.0,2300.0,竞价交易,2015-07-14,2015-07-15,范值清,本人
18,神州长城,陈略,董事、高管,59800.0,153136462.0,竞价交易,2015-12-29,2015-12-30,陈略,本人
19,深深宝A,林红,监事,5000.0,5000.0,竞价交易,2015-07-10,2015-07-13,林红,本人
19,深深宝A,陈灿松,独立董事,3100.0,,竞价交易,2015-11-13,2015-11-16,高少双,配偶
20,深华发A,唐敢于,高管,500.0,500.0,竞价交易,2015-07-20,2015-07-21,张平波,配偶
21,深科技,谢少华,监事,300.0,300.0,竞价交易,2015-06-11,2015-06-12,谢少忠,兄弟姐妹
21,深科技,杜和平,董事,4400.0,4400.0,竞价交易,2015-07-23,2015-07-24,王静,配偶
21,深科技,杜和平,董事,1000.0,5400.0,竞价交易,2015-08-05,2015-08-06,王静,配偶
21,深科技,谢韩珠,独立董事,4000.0,10000.0,竞价交易,2015-09-01,2015-09-02,黄琼香,父母
21,深科技,于化荣,高管,600.0,,竞价交易,2015-12-14,2015-12-15,李惠琴,配偶
23,深天地A,李苏民,董事、高管,1600.0,1600.0,竞价交易,2015-07-01,2015-07-02,冯玉环,配偶
23,深天地A,严中宇,董事,652500.0,1034400.0,竞价交易,2015-08-07,2015-08-10,深圳市投资控股有限公司,受控法人
24,招商地产,王晞,高管,10000.0,10000.0,竞价交易,2015-03-11,2015-03-12,王晞,本人
