交易代码,公司名称,董监高姓名,职务,变动数,变动后持股数,变动原因,变动日期,填报日期,股份变动人姓名,变动人与董监高的关系
2,万科A,周卫军,高管,5000.0,25280.0,竞价交易,2011-10-17,2011-10-19,贾桂芬,配偶
4,国农科技,江玉明,董事,2300.0,2300.0,竞价交易,2011-09-30,2011-10-11,江玉明,本人
6,深振业A,桂强芳,董事,2000.0,2000.0,竞价交易,2011-09-14,2011-09-16,桂强芳,本人
9,中国宝安,林潭素,董事,10000.0,10000.0,竞价交易,2011-06-09,2011-06-13,林健良,兄弟姐妹
12,南玻A,王天广,董事,3600.0,3600.0,竞价交易,2011-09-16,2011-09-20,王健翔,兄弟姐妹
17,*ST中华A,罗桂友,董事,1000.0,1000.0,竞价交易,2011-04-07,2011-04-11,罗桂梅,兄弟姐妹
24,招商地产,林少斌,董事,10000.0,51670.0,竞价交易,2011-04-22,2011-04-26,林少斌,本人
24,招商地产,杨志光,高管,7000.0,51295.0,竞价交易,2011-05-26,2011-05-30,杨志光,本人
24,招商地产,张林,高管,2200.0,2200.0,竞价交易,2011-06-22,2011-06-24,张林,本人
24,招商地产,胡建新,高管,10000.0,10000.0,竞价交易,2011-07-05,2011-07-07,胡建新,本人
24,招商局B,王正德,高管,10000.0,,竞价交易,2011-04-28,2011-05-03,王正德,本人
24,招商局B,黄培坤,董事、高管,12500.0,130700.0,竞价交易,2011-06-24,2011-06-28,黄培坤,本人
30,*ST盛润A,班武,董事,10400.0,10400.0,竞价交易,2011-09-21,2011-09-26,班武,本人
37,深南电A,彭勃,监事,2000.0,2000.0,竞价交易,2011-06-24,2011-06-28,彭以贵,父母
37,深南电A,李洪生,董事,15000.0,16000.0,竞价交易,2011-08-16,2011-08-18,李淑兰,兄弟姐妹
37,深南电A,李洪生,董事,3000.0,104000.0,竞价交易,2011-10-13,2011-10-17,李淑兰,兄弟姐妹
39,中集集团,于亚,高管,2000.0,2000.0,竞价交易,2011-03-30,2011-04-01,于健,兄弟姐妹
39,中集集团,于亚,高管,1300.0,3300.0,竞价交易,2011-04-06,2011-04-08,于健,兄弟姐妹
40,宝安地产,罗伟光,高管,900.0,900.0,竞价交易,2011-03-15,2011-03-17,罗子超,子女
46,泛海建设,卢志强,董事,1759786.0,1759786.0,竞价交易,2011-10-27,2011-10-31,卢志强,本人
48,康达尔,黄馨,董事,1300.0,1300.0,竞价交易,2011-03-09,2011-03-14,华珂,配偶
56,深国商B,谢汝煊,董事,1700.0,,竞价交易,2011-05-10,2011-05-12,谢楠,子女
63,中兴通讯,董联波,董事,1700.0,1700.0,竞价交易,2011-01-24,2011-01-26,鲁晓欣,配偶
63,中兴通讯,叶卫民,高管,45490.0,430276.0,竞价交易,2011-06-24,2011-06-28,叶卫民,本人
63,中兴通讯,韦在胜,高管,18000.0,18000.0,竞价交易,2011-08-26,2011-08-30,谢怡,配偶
65,北方国际,余道春,高管,3100.0,3100.0,竞价交易,2011-07-01,2011-07-05,商晓春,配偶
88,盐田港,庞勇,监事,2000.0,2000.0,竞价交易,2011-03-10,2011-03-14,邱莉,配偶
100,TCL集团,于广辉,高管,100.0,900.0,竞价交易,2011-05-26,2011-05-30,于广伟,兄弟姐妹
409,ST泰复,费心,监事,800.0,800.0,竞价交易,2011-10-19,2011-10-21,柴淮娟,父母
415,渤海租赁,李铁民,董事,97500.0,97500.0,竞价交易,2011-12-28,2011-12-30,劳文东,配偶
420,吉林化纤,徐英彪,监事,2000.0,2560.0,竞价交易,2011-08-22,2011-08-24,徐英彪,本人
422,湖北宜化,鲁丹,证券事务代表,200.0,200.0,竞价交易,2011-05-26,2011-05-30,鲁丹,本人
423,东阿阿胶,刘广立,监事,100.0,600.0,竞价交易,2011-03-25,2011-03-29,刘广立,本人
506,中润资源,刘成坤,董事、高管,15000.0,15000.0,竞价交易,2011-01-27,2011-01-31,陈卫宁,配偶
511,银基发展,刘成文,董事,1166252.0,236088535.0,竞价交易,2011-02-23,2011-02-25,沈阳银基企业有限公司,受控法人
511,银基发展,刘成文,董事,469700.0,237668910.0,竞价交易,2011-04-19,2011-04-21,沈阳银基企业有限公司,受控法人
511,银基发展,王利群,高管,4700.0,5124.0,竞价交易,2011-05-09,2011-05-11,王政,兄弟姐妹
511,银基发展,刘成文,董事,400000.0,238068910.0,竞价交易,2011-08-03,2011-08-08,沈阳银基集团有限责任公司,受控法人
511,银基发展,刘成文,董事,100000.0,247011782.0,竞价交易,2011-09-05,2011-09-07,沈阳银基集团有限责任公司,受控法人
511,银基发展,刘成文,董事,391000.0,252561462.0,竞价交易,2011-10-10,2011-10-12,沈阳银基集团有限责任公司,受控法人
511,银基发展,刘成文,董事,35000.0,252596462.0,竞价交易,2011-11-11,2011-11-15,沈阳银基集团有限责任公司,受控法人
517,荣安地产,王信忠,监事,50000.0,50000.0,竞价交易,2011-09-28,2011-09-30,王信忠,本人
523,广州浪奇,何伟文,监事,5900.0,26040.0,竞价交易,2011-03-18,2011-03-22,何伟文,本人
525,红太阳,陈山,董事,4100.0,4100.0,竞价交易,2011-01-06,2011-01-10,林林,配偶
530,大冷股份,王志强,高管,8000.0,8000.0,竞价交易,2011-06-08,2011-06-10,李春红,配偶
534,万泽股份,杨竞雄,董事,16020.0,16020.0,竞价交易,2011-11-16,2011-11-18,杨竞芳,兄弟姐妹
534,万泽股份,林伟光,董事,246900.0,47894829.0,竞价交易,2011-12-28,2011-12-30,万泽集团有限公司,受控法人
540,中天城投,董平,董事,700.0,700.0,竞价交易,2011-10-26,2011-10-28,董燕,兄弟姐妹
541,佛山照明,杨旭东,监事,500.0,500.0,竞价交易,2011-03-02,2011-03-04,王文戈,配偶
545,吉林制药,刘煜,董事,1400.0,1400.0,竞价交易,2011-02-09,2011-02-11,刘煜,本人
547,闽福发A,曹阳,监事,1000.0,1000.0,竞价交易,2011-03-09,2011-03-14,曹阳,本人
552,靖远煤电,蒲培文,监事,700.0,700.0,竞价交易,2011-09-06,2011-09-09,王文瑞,配偶
558,莱茵置业,高建平,董事,700.0,700.0,竞价交易,2011-01-27,2011-01-31,杭月丽,配偶
561,烽火电子,李荣家,董事,21000.0,21000.0,竞价交易,2011-06-22,2011-06-24,李荣家,本人
561,烽火电子,王志杰,高管,2000.0,2001.0,竞价交易,2011-07-04,2011-07-06,朱晓雯,配偶
566,海南海药,张晖,高管,73843.0,91343.0,竞价交易,2011-12-27,2011-12-29,张晖,本人
571,新大洲A,赵序宏,董事、高管,360000.0,360000.0,竞价交易,2011-09-06,2011-09-09,王玉英,配偶
572,海马汽车,李芳统,监事,300.0,300.0,竞价交易,2011-10-10,2011-10-12,李芳兰,兄弟姐妹
576,*ST甘化,雷忠,董事、高管,100.0,100.0,竞价交易,2011-03-04,2011-03-08,雷俊,兄弟姐妹
576,*ST甘化,林英,高管,1500.0,1500.0,竞价交易,2011-04-28,2011-05-03,林立娟,兄弟姐妹
582,北海港,马正国,董事,3500.0,3500.0,竞价交易,2011-09-06,2011-09-09,段任翔,父母
591,桐君阁,胡晓华,高管,4000.0,4000.0,竞价交易,2011-03-03,2011-03-07,胡新,兄弟姐妹
594,国恒铁路,金卫民,董事、高管,300.0,300.0,竞价交易,2011-04-08,2011-04-12,金卫宇,兄弟姐妹
601,韶能股份,徐兵,董事,11400.0,190146.0,竞价交易,2011-02-10,2011-02-12,徐兵,本人
601,韶能股份,钟跃元,高管,19700.0,19700.0,竞价交易,2011-06-29,2011-07-01,钟跃红,兄弟姐妹
601,韶能股份,钟跃元,高管,8000.0,8000.0,竞价交易,2011-08-02,2011-08-04,钟跃红,兄弟姐妹
601,韶能股份,陈来泉,董事,36400.0,253355.0,竞价交易,2011-09-01,2011-09-05,陈来泉,本人
601,韶能股份,罗德强,高管,6900.0,6900.0,竞价交易,2011-12-23,2011-12-27,罗德强,本人
620,新华联,吴一平,监事,4700.0,4700.0,竞价交易,2011-07-08,2011-07-12,吴一文,兄弟姐妹
625,长安汽车,宋嘉,高管,40000.0,40000.0,竞价交易,2011-08-01,2011-08-03,熊玉华,配偶
632,三木集团,兰隽,董事,1000.0,1000.0,竞价交易,2011-01-27,2011-01-31,兰来斌,兄弟姐妹
632,三木集团,兰隽,董事,8000.0,9000.0,竞价交易,2011-04-25,2011-04-27,兰来斌,兄弟姐妹
633,ST合金,李佰校,董事,6600.0,6600.0,竞价交易,2011-08-23,2011-08-25,宣燕萍,配偶
633,ST合金,屈丽,监事,1000.0,1000.0,竞价交易,2011-09-23,2011-09-27,秦飞,配偶
651,格力电器,杨永兴,证券事务代表,600.0,4500.0,竞价交易,2011-06-13,2011-06-15,魏玲,配偶
655,金岭矿业,王毅,董事,100.0,100.0,竞价交易,2011-02-22,2011-02-24,王丽华,兄弟姐妹
659,珠海中富,王玉玲,董事、高管,1000.0,1000.0,竞价交易,2011-10-19,2011-10-21,马晨,配偶
661,长春高新,林海,高管,3000.0,3000.0,竞价交易,2011-10-14,2011-10-18,王红,配偶
662,*ST索芙,陈小颜,监事,200.0,200.0,竞价交易,2011-05-12,2011-05-16,陈彩洪,兄弟姐妹
671,阳光城,何媚,董事、高管,30000.0,30000.0,竞价交易,2011-06-08,2011-06-10,何媚,本人
