交易代码,公司名称,董监高姓名,职务,变动数,变动后持股数,变动原因,变动日期,填报日期,股份变动人姓名,变动人与董监高的关系
1,平安银行,马黎民,监事,46200.0,46200.0,竞价交易,2009-08-19,2009-08-21,刘巧莉,配偶
1,平安银行,叶淑虹,监事,700.0,700.0,竞价交易,2009-10-20,2009-10-22,叶选权,父母
2,万科A,徐洪舸,高管,140000.0,140000.0,竞价交易,2009-08-11,2009-08-13,徐洪波,兄弟姐妹
6,深振业A,李富川,董事、高管,5000.0,5000.0,竞价交易,2009-04-22,2009-04-24,罗丽娟,配偶
6,深振业A,郭其荣,监事,10000.0,10000.0,竞价交易,2009-08-06,2009-08-08,魏本红,配偶
14,沙河股份,孔雨泉,董事,90300.0,90300.0,竞价交易,2009-01-22,2009-02-03,邓翠珍,父母
14,沙河股份,张选昭,监事,200.0,200.0,竞价交易,2009-02-25,2009-02-27,张文兰,兄弟姐妹
16,深康佳A,霍军,董事,2000.0,2000.0,竞价交易,2009-07-20,2009-07-22,霍巍,兄弟姐妹
20,深华发B,傅延华,董事、高管,4200.0,,竞价交易,2009-08-05,2009-08-07,付东梅,配偶
21,长城开发,李单单,监事,500.0,500.0,竞价交易,2009-05-22,2009-05-26,袁飞,配偶
23,深天地A,赵文华,董事,100.0,100.0,竞价交易,2009-05-08,2009-05-12,赵永江,父母
25,特力A,刘鸿玲,董事,200.0,200.0,竞价交易,2009-06-23,2009-06-25,刘鸿鹄,兄弟姐妹
27,深圳能源,陈敏生,董事,22600.0,22600.0,竞价交易,2009-10-13,2009-10-15,陈旭升,兄弟姐妹
28,国药一致,付明仲,董事,500.0,500.0,竞价交易,2009-03-11,2009-03-13,付明卓,兄弟姐妹
28,国药一致,彭娟,董事,46000.0,46000.0,竞价交易,2009-11-11,2009-11-13,王庆春,配偶
29,深深房A,宗德纯,董事,7700.0,7700.0,竞价交易,2009-06-19,2009-06-23,张桂凤,配偶
29,深深房B,许振汉,监事,3000.0,,竞价交易,2009-09-07,2009-09-09,侯贵兰,配偶
31,中粮地产,曹荣根,高管,27300.0,27300.0,竞价交易,2009-06-03,2009-06-06,曹荣根,本人
35,*ST科健,杨少陵,董事,4500.0,4500.0,竞价交易,2009-02-24,2009-02-26,苑立荣,配偶
36,华联控股,郑辟通,监事,20000.0,20000.0,竞价交易,2009-04-15,2009-04-17,郑孜,子女
36,华联控股,沈华,证券事务代表,10600.0,10600.0,竞价交易,2009-10-27,2009-10-29,詹志强,配偶
39,中集集团,李锐庭,高管,2000.0,2000.0,竞价交易,2009-11-16,2009-11-18,李惠君,配偶
40,宝安地产,黄旭辉,高管,20000.0,20000.0,竞价交易,2009-03-09,2009-03-11,黄厚青,父母
40,深鸿基,罗伟光,董事、高管,20000.0,199891.0,竞价交易,2009-03-16,2009-03-18,罗伟光,本人
42,深长城,辛杰,高管,10000.0,10000.0,竞价交易,2009-09-25,2009-09-29,辛杰,本人
42,深长城,尹善峰,高管,700.0,700.0,竞价交易,2009-11-19,2009-11-21,尹善涛,兄弟姐妹
43,中航地产,张国超,高管,2400.0,2400.0,竞价交易,2009-12-23,2009-12-29,张国锐,兄弟姐妹
45,深纺织B,朱梅柱,高管,93000.0,,竞价交易,2009-02-17,2009-02-19,朱梅柱,本人
46,泛海建设,徐建兵,高管,4600.0,4600.0,竞价交易,2009-02-16,2009-02-18,徐建华,兄弟姐妹
46,泛海建设,李俊生,董事,200.0,1000.0,竞价交易,2009-11-27,2009-12-01,邰霖,配偶
46,泛海建设,韩晓生,董事,1300.0,1300.0,竞价交易,2009-12-03,2009-12-05,韩晓峰,兄弟姐妹
48,康达尔,何光明,监事,4000.0,4000.0,竞价交易,2009-07-07,2009-07-09,何文斌,子女
60,中金岭南,刘侦德,高管,1200.0,134000.0,竞价交易,2009-02-06,2009-02-10,刘侦德,本人
60,中金岭南,张伟健,监事,3000.0,3000.0,竞价交易,2009-05-14,2009-05-16,张伟健,本人
60,中金岭南,张伟健,监事,2000.0,5000.0,竞价交易,2009-07-06,2009-07-08,张伟健,本人
60,中金岭南,姚锐红,监事,22700.0,22700.0,竞价交易,2009-12-24,2009-12-26,魏新民,配偶
65,北方国际,张世平,高管,200.0,200.0,竞价交易,2009-09-04,2009-09-08,王岩菁,配偶
69,华侨城A,林育德,高管,35000.0,96195.0,竞价交易,2009-09-17,2009-09-19,潘海沙,配偶
69,华侨城A,林育德,高管,11300.0,111495.0,竞价交易,2009-11-23,2009-11-25,潘海沙,配偶
78,海王生物,聂志华,监事,11400.0,11400.0,竞价交易,2009-05-22,2009-05-26,聂志华,本人
78,海王生物,张文周,董事,6000.0,6000.0,竞价交易,2009-10-28,2009-10-30,张文轩,兄弟姐妹
90,深天健,李自祥,董事,4400.0,4400.0,竞价交易,2009-11-05,2009-11-07,李自祥,本人
100,TCL集团,李益民,高管,679400.0,679400.0,竞价交易,2009-07-21,2009-07-23,吕忠丽,父母
100,TCL集团,米新滨,监事,10000.0,10000.0,竞价交易,2009-12-31,2010-01-05,米锡廷,兄弟姐妹
155,川化股份,郑林,高管,300.0,300.0,竞价交易,2009-08-19,2009-08-21,郑林,本人
157,中联重科,陈培亮,高管,2000.0,2000.0,竞价交易,2009-02-26,2009-02-28,田艺,父母
157,中联重科,张建国,高管,800.0,800.0,竞价交易,2009-04-09,2009-04-11,张建中,兄弟姐妹
158,常山股份,高俊岐,高管,1000.0,1000.0,竞价交易,2009-07-03,2009-07-07,刘文哲,配偶
404,华意压缩,李良智,董事,2000.0,2000.0,竞价交易,2009-12-24,2009-12-26,李良贤,兄弟姐妹
407,胜利股份,朱小芳,董事,15000.0,15000.0,竞价交易,2009-03-25,2009-03-27,王海钧,配偶
413,宝石A,周波,董事,1000.0,1000.0,竞价交易,2009-01-19,2009-01-21,周戈,兄弟姐妹
413,宝石A,周波,董事,13400.0,13400.0,竞价交易,2009-02-10,2009-02-12,周戈,兄弟姐妹
413,宝石A,周波,董事,4600.0,4600.0,竞价交易,2009-11-12,2009-11-14,周戈,兄弟姐妹
415,渤海租赁,王琴,董事,3000.0,15000.0,竞价交易,2009-08-07,2009-08-11,王栋,兄弟姐妹
419,通程控股,章棉水,监事,7000.0,7000.0,竞价交易,2009-02-16,2009-02-18,章棉水,本人
420,*ST吉纤,王剩勇,董事,400.0,400.0,竞价交易,2009-06-26,2009-06-30,齐晓颖,配偶
426,富龙热电,史淑琴,高管,3000.0,56242.0,竞价交易,2009-06-24,2009-06-26,史淑琴,本人
428,华天酒店,钟巧萍,高管,900.0,900.0,竞价交易,2009-03-16,2009-03-18,毛秀英,父母
429,粤高速A,李梅,监事,130000.0,130000.0,竞价交易,2009-07-17,2009-07-21,卢永德,配偶
430,张家界,苏涛,高管,1000.0,1000.0,竞价交易,2009-10-21,2009-10-23,毛兰香,父母
501,鄂武商A,罗铭,董事,50000.0,50000.0,竞价交易,2009-02-06,2009-02-10,金晓惠,父母
501,鄂武商A,刘江超,董事、高管,4000.0,4000.0,竞价交易,2009-04-13,2009-04-15,刘爱云,兄弟姐妹
501,鄂武商A,刘江超,董事、高管,7000.0,7000.0,竞价交易,2009-07-17,2009-07-21,刘爱云,兄弟姐妹
504,ST传媒,赵泽明,董事,100.0,100.0,竞价交易,2009-09-07,2009-09-09,赵玥,子女
507,珠海港,王继宁,董事,4800.0,4800.0,竞价交易,2009-04-17,2009-04-21,王世霖,兄弟姐妹
514,渝开发,叶坚,高管,1000.0,1000.0,竞价交易,2009-04-27,2009-04-29,胡佳,兄弟姐妹
516,开元投资,李玉萍,董事,1700.0,1700.0,竞价交易,2009-11-26,2009-11-28,李均萍,兄弟姐妹
516,开元投资,史今,董事、高管,900.0,900.0,竞价交易,2009-12-18,2009-12-25,张敏,配偶
519,江南红箭,徐敏,监事,1000.0,1000.0,竞价交易,2009-10-19,2009-10-21,徐进,兄弟姐妹
522,白云山A,温旭,董事,1200.0,1200.0,竞价交易,2009-07-17,2009-07-21,陈赛娥,父母
522,白云山A,王文楚,高管,2600.0,2600.0,竞价交易,2009-11-16,2009-11-19,王寿昆,父母
528,柳工,闭海东,高管,1000.0,1000.0,竞价交易,2009-08-19,2009-08-21,闭海滨,兄弟姐妹
528,柳工,闭海东,高管,100.0,100.0,竞价交易,2009-12-25,2009-12-29,闭海玲,兄弟姐妹
529,广弘控股,张硕城,董事,3000.0,3000.0,竞价交易,2009-09-29,2009-10-08,张硕城,本人
533,万家乐,罗筱琦,董事,3000.0,3000.0,竞价交易,2009-07-06,2009-07-08,宋世碧,父母
533,万家乐,李智,董事、高管,50000.0,50000.0,竞价交易,2009-08-03,2009-08-05,李智,本人
538,云南白药,王锦,高管,100.0,1000.0,竞价交易,2009-04-24,2009-04-28,王红,兄弟姐妹
539,粤电力B,刘罗寿,董事、高管,10190.0,58100.0,竞价交易,2009-01-12,2009-01-20,陈少玲,配偶
539,粤电力B,刘罗寿,董事,1400.0,88890.0,竞价交易,2009-07-27,2009-07-29,陈少玲,配偶
539,粤电力B,刘学毛,高管,15500.0,15000.0,竞价交易,2009-09-07,2009-09-09,刘学毛,本人
539,粤电力A,李晓晴,高管,2000.0,2000.0,竞价交易,2009-03-06,2009-03-10,李智芸,兄弟姐妹
539,粤电力A,陈楚阳,监事,100.0,100.0,竞价交易,2009-11-23,2009-11-25,陈礼贵,父母
541,佛山照明,吴建宏,董事,900.0,12600.0,竞价交易,2009-03-02,2009-03-04,蔡晨辉,子女
541,佛山照明,汪淑琼,高管,10900.0,140013.0,竞价交易,2009-09-17,2009-09-19,汪淑琼,本人
541,粤照明B,庄坚毅,董事,20000.0,8155732.0,竞价交易,2009-08-25,2009-08-27,庄坚毅,本人
547,闽福发A,章高路,董事,10000.0,10000.0,竞价交易,2009-01-13,2009-01-15,徐美芬,配偶
551,创元科技,许鸿新,高管,4000.0,4000.0,竞价交易,2009-11-13,2009-11-17,许洪生,兄弟姐妹
551,创元科技,张秋华,监事,4700.0,4700.0,竞价交易,2009-12-28,2009-12-31,张云华,子女
553,沙隆达A,李作荣,董事,5200.0,10690.0,竞价交易,2009-01-22,2009-01-26,李作荣,本人
557,*ST广夏,朱关湖,董事,1000.0,1000.0,竞价交易,2009-03-30,2009-04-01,邵丽芳,配偶
561,烽火电子,张立军,监事,1700.0,1700.0,竞价交易,2009-11-03,2009-11-05,张立新,兄弟姐妹
561,*ST长岭,杨元胜,高管、监事,2000.0,2000.0,竞价交易,2009-11-12,2009-11-14,杨元胜,本人
562,宏源证券,罗力生,监事,20800.0,20800.0,竞价交易,2009-04-01,2009-04-03,罗阳,子女
565,渝三峡A,高琳,监事,600.0,600.0,竞价交易,2009-12-02,2009-12-04,高蓉,兄弟姐妹
566,海南海药,张晖,高管,1500.0,1500.0,竞价交易,2009-04-03,2009-04-08,张光,兄弟姐妹
566,海南海药,李弥生,高管,4900.0,612400.0,竞价交易,2009-08-19,2009-08-21,李弥生,本人
568,泸州老窖,杨本红,监事,10000.0,10000.0,竞价交易,2009-06-30,2009-07-02,杨本红,本人
568,泸州老窖,江域会,董事,1000.0,1000.0,竞价交易,2009-07-14,2009-07-16,廖斌,配偶
570,苏常柴A,张骏原,董事,3000.0,3000.0,竞价交易,2009-06-01,2009-06-03,张晨,子女
581,威孚高科,储勇,证券事务代表,7000.0,7000.0,竞价交易,2009-08-12,2009-08-14,储勇,本人
586,汇源通信,朱开友,董事,10000.0,10000.0,竞价交易,2009-06-05,2009-06-09,南娟娜,配偶
589,黔轮胎A,管洲,董事,7750.0,7750.0,竞价交易,2009-08-12,2009-08-14,管放,兄弟姐妹
591,桐君阁,宋卫,董事、高管,500.0,800.0,竞价交易,2009-08-05,2009-08-07,宋敏,兄弟姐妹
591,桐君阁,王祖悦,高管,600.0,600.0,竞价交易,2009-10-23,2009-10-27,王良灼,配偶
595,*ST西轴,王冬红,监事,1600.0,1600.0,竞价交易,2009-04-21,2009-04-23,王育才,配偶
599,青岛双星,赵军赤,高管,400.0,400.0,竞价交易,2009-05-22,2009-05-26,赵晓磊,子女
600,建投能源,单群英,董事,500.0,1994.0,竞价交易,2009-11-17,2009-11-19,单民英,兄弟姐妹
601,韶能股份,廖树养,监事,2700.0,3200.0,竞价交易,2009-01-21,2009-01-23,廖树养,本人
601,韶能股份,曾梅,监事,2200.0,53200.0,竞价交易,2009-12-02,2009-12-04,曾梅,本人
607,华立药业,余晓利,监事,800.0,800.0,竞价交易,2009-06-03,2009-06-06,余晓利,本人
608,阳光股份,吴尧,高管,1300.0,1300.0,竞价交易,2009-03-05,2009-03-07,徐筱娥,父母
616,亿城股份,张丽萍,董事、高管,2000.0,2000.0,竞价交易,2009-08-14,2009-08-18,张丽敏,兄弟姐妹
616,亿城股份,郝生根,董事,12700.0,12700.0,竞价交易,2009-09-21,2009-09-23,郝菊琴,兄弟姐妹
625,长安汽车,王莉君,监事,18400.0,18400.0,竞价交易,2009-07-03,2009-07-07,吴克志,配偶
625,长安汽车,张竞竞,监事,1600.0,1600.0,竞价交易,2009-09-15,2009-09-17,张庆,兄弟姐妹
625,长安汽车,赵鲁川,董事,100.0,100.0,竞价交易,2009-12-04,2009-12-08,赵鲁川,本人
628,高新发展,李继勤,监事,300.0,300.0,竞价交易,2009-10-12,2009-10-14,李凌,子女
630,铜陵有色,张文海,董事,2000.0,2000.0,竞价交易,2009-01-12,2009-01-14,张样,子女
630,铜陵有色,吴和平,高管,57000.0,57000.0,竞价交易,2009-03-11,2009-03-13,左红梅,父母
632,三木集团,林红,董事,100.0,100.0,竞价交易,2009-05-19,2009-05-21,陈建武,配偶
636,风华高科,廖永忠,高管,4600.0,4600.0,竞价交易,2009-10-20,2009-10-22,廖足美,父母
636,风华高科,廖永忠,高管,6400.0,6400.0,竞价交易,2009-11-18,2009-11-20,廖红英,兄弟姐妹
637,茂化实华,刘毅聪,监事,54400.0,54400.0,竞价交易,2009-04-09,2009-04-11,张何文,配偶
639,西王食品,李向荣,监事,1100.0,1100.0,竞价交易,2009-09-21,2009-09-23,李欣欣,兄弟姐妹
651,格力电器,黄辉,高管,360000.0,1710000.0,股权激励,2009-02-12,2009-02-17,黄辉,本人
651,格力电器,望靖东,高管,1800.0,1800.0,竞价交易,2009-12-16,2009-12-23,望慧敏,兄弟姐妹
655,金岭矿业,杨乐申,监事,200.0,200.0,竞价交易,2009-02-02,2009-02-05,杨强,子女
656,金科股份,邓惠明,董事,900.0,900.0,竞价交易,2009-07-07,2009-07-09,周蓉,配偶
